test_id,test_category,test_type,temperature,humidity,vibration,pressure,risk_score,pass_fail,test_duration,test_date,standard
TEST_000372,temperature,low_temp,43.47,11.1,46.57,1033.18,0.856,FAIL,220,2024-09-29 18:31:19.476470,MIL-STD-810 Method 502.7
TEST_000373,vibration,mechanical_vibration,60.71,85.1,15.54,1132.06,1.0,FAIL,34,2025-06-22 18:31:19.476498,MIL-STD-810 Method 514.8
TEST_000374,humidity,condensation,41.23,51.79,22.27,1163.19,0.751,FAIL,286,2025-01-20 18:31:19.476526,ISO 16750-4
TEST_000375,humidity,humidity_resistance,30.68,94.05,1.93,1079.39,0.461,PASS,263,2025-02-23 18:31:19.476555,MIL-STD-810 Method 507.7
TEST_000376,humidity,condensation,-25.91,56.16,1.31,922.73,0.424,PASS,227,2024-12-20 18:31:19.476584,ISO 16750-4
TEST_000377,temperature,high_temp,-27.98,33.34,17.61,1003.23,0.488,PASS,439,2024-08-25 18:31:19.476611,MIL-STD-810 Method 501.7
TEST_000378,temperature,high_temp,-12.38,25.76,24.72,887.19,0.701,FAIL,479,2025-01-19 18:31:19.476639,MIL-STD-810 Method 501.7
TEST_000379,vibration,mechanical_vibration,43.76,53.12,1.24,1166.09,0.486,PASS,104,2025-01-18 18:31:19.476666,MIL-STD-810 Method 514.8
TEST_000380,temperature,thermal_shock,22.42,17.4,29.69,1057.29,0.372,PASS,422,2025-02-02 18:31:19.476698,IEC 60068-2-14
TEST_000381,temperature,high_temp,13.96,91.71,34.23,870.93,1.0,FAIL,32,2025-07-25 18:31:19.476727,MIL-STD-810 Method 501.7
TEST_000382,temperature,low_temp,21.83,36.27,49.94,1167.83,0.998,FAIL,453,2024-10-19 18:31:19.476755,MIL-STD-810 Method 502.7
TEST_000383,vibration,acoustic_vibration,21.83,16.62,27.21,922.05,0.391,PASS,348,2024-10-18 18:31:19.476784,MIL-STD-810 Method 515.8
TEST_000384,humidity,humidity_resistance,-39.13,24.6,39.47,1053.17,1.0,FAIL,381,2025-07-03 18:31:19.476811,MIL-STD-810 Method 507.7
TEST_000385,vibration,acoustic_vibration,-4.0,52.49,12.92,938.46,0.33,PASS,58,2025-03-07 18:31:19.476839,MIL-STD-810 Method 515.8
TEST_000386,humidity,humidity_resistance,31.09,40.94,40.32,900.34,0.702,FAIL,100,2024-08-22 18:31:19.476869,MIL-STD-810 Method 507.7
TEST_000387,temperature,high_temp,67.02,35.01,40.55,877.41,1.0,FAIL,102,2024-11-09 18:31:19.476896,MIL-STD-810 Method 501.7
TEST_000388,vibration,shock,53.68,70.76,8.51,980.36,0.289,PASS,159,2025-03-03 18:31:19.476923,IEC 60068-2-27
TEST_000389,humidity,humidity_resistance,-30.99,57.49,4.48,838.88,0.912,FAIL,185,2025-07-19 18:31:19.476956,MIL-STD-810 Method 507.7
TEST_000390,temperature,thermal_shock,38.84,93.53,2.64,963.64,0.418,PASS,464,2025-04-19 18:31:19.476984,IEC 60068-2-14
TEST_000391,vibration,mechanical_vibration,53.95,17.32,22.31,1196.9,0.866,FAIL,268,2024-10-19 18:31:19.477013,MIL-STD-810 Method 514.8
TEST_000392,temperature,high_temp,-31.79,38.03,14.41,1193.8,1.0,FAIL,280,2025-03-21 18:31:19.477040,MIL-STD-810 Method 501.7
TEST_000393,temperature,high_temp,67.05,37.28,4.29,1114.21,0.907,FAIL,178,2025-06-13 18:31:19.477067,MIL-STD-810 Method 501.7
TEST_000394,temperature,high_temp,12.16,75.92,17.79,812.59,0.491,PASS,414,2024-09-22 18:31:19.477094,MIL-STD-810 Method 501.7
TEST_000395,vibration,mechanical_vibration,61.58,29.25,8.35,919.63,0.509,PASS,95,2024-08-22 18:31:19.477121,MIL-STD-810 Method 514.8
TEST_000396,humidity,humidity_resistance,31.42,36.83,26.57,1157.26,0.688,PASS,187,2025-02-27 18:31:19.477148,MIL-STD-810 Method 507.7
TEST_000397,temperature,thermal_shock,10.62,89.13,34.91,981.77,0.594,PASS,282,2024-10-25 18:31:19.477175,IEC 60068-2-14
TEST_000398,temperature,thermal_shock,50.39,56.77,46.45,1112.69,1.0,FAIL,109,2025-01-20 18:31:19.477205,IEC 60068-2-14
TEST_000399,humidity,water_splash,-11.99,18.51,18.57,992.54,0.44,PASS,344,2024-11-07 18:31:19.477242,IEC 60529
TEST_000400,vibration,mechanical_vibration,10.53,48.19,6.55,1086.05,0.083,PASS,49,2024-09-30 18:31:19.477287,MIL-STD-810 Method 514.8
TEST_000401,vibration,shock,32.84,36.58,16.86,1000.53,0.282,PASS,349,2025-01-01 18:31:19.477320,IEC 60068-2-27
TEST_000402,vibration,mechanical_vibration,37.21,55.06,19.96,1177.39,0.588,PASS,345,2024-09-22 18:31:19.477355,MIL-STD-810 Method 514.8
TEST_000403,temperature,low_temp,16.89,62.32,26.22,1125.91,0.488,PASS,85,2025-06-02 18:31:19.477398,MIL-STD-810 Method 502.7
TEST_000404,humidity,condensation,37.97,61.43,29.4,983.94,0.395,PASS,436,2025-03-16 18:31:19.477432,ISO 16750-4
TEST_000405,temperature,high_temp,31.21,71.5,43.33,829.98,1.0,FAIL,401,2025-05-11 18:31:19.477468,MIL-STD-810 Method 501.7
TEST_000406,vibration,shock,-24.09,89.28,40.12,1093.54,1.0,FAIL,240,2024-10-28 18:31:19.477504,IEC 60068-2-27
TEST_000407,humidity,water_splash,-37.26,83.97,49.84,867.13,1.0,FAIL,123,2025-03-04 18:31:19.477545,IEC 60529
TEST_000408,humidity,water_splash,6.13,93.43,22.0,1150.28,1.0,FAIL,467,2024-11-17 18:31:19.477580,IEC 60529
TEST_000409,vibration,acoustic_vibration,61.7,90.74,10.89,1025.41,1.0,FAIL,49,2025-03-29 18:31:19.477617,MIL-STD-810 Method 515.8
TEST_000410,temperature,thermal_shock,18.48,64.38,39.23,1096.63,0.533,PASS,293,2025-08-04 18:31:19.477650,IEC 60068-2-14
TEST_000411,vibration,mechanical_vibration,53.43,68.08,14.11,998.52,0.476,PASS,33,2024-08-22 18:31:19.477684,MIL-STD-810 Method 514.8
TEST_000412,temperature,thermal_shock,12.75,87.15,32.37,1193.04,1.0,FAIL,177,2025-05-03 18:31:19.477717,IEC 60068-2-14
TEST_000413,vibration,shock,-4.85,10.87,7.75,1045.22,0.27,PASS,98,2025-03-15 18:31:19.477749,IEC 60068-2-27
TEST_000414,temperature,low_temp,33.41,82.49,49.62,942.01,0.893,FAIL,437,2024-09-29 18:31:19.477782,MIL-STD-810 Method 502.7
TEST_000415,temperature,low_temp,-22.87,54.22,7.61,962.88,0.291,PASS,355,2025-05-11 18:31:19.477819,MIL-STD-810 Method 502.7
TEST_000416,temperature,low_temp,-9.63,27.22,18.99,1191.35,0.546,PASS,320,2024-09-30 18:31:19.477852,MIL-STD-810 Method 502.7
TEST_000417,temperature,high_temp,55.52,36.87,39.34,1054.49,0.779,FAIL,40,2024-08-17 18:31:19.477887,MIL-STD-810 Method 501.7
TEST_000418,humidity,condensation,8.62,15.22,36.48,1137.65,0.794,FAIL,248,2024-10-29 18:31:19.477932,ISO 16750-4
TEST_000419,vibration,mechanical_vibration,24.12,31.88,39.51,995.78,0.431,PASS,298,2025-06-24 18:31:19.477971,MIL-STD-810 Method 514.8
TEST_000420,temperature,low_temp,45.58,67.58,49.14,1046.85,0.712,FAIL,475,2025-06-16 18:31:19.478007,MIL-STD-810 Method 502.7
TEST_000421,vibration,mechanical_vibration,68.31,26.23,10.02,1105.27,1.0,FAIL,116,2025-02-19 18:31:19.478053,MIL-STD-810 Method 514.8
TEST_000422,vibration,shock,65.93,51.12,22.41,1088.09,0.911,FAIL,222,2025-05-24 18:31:19.478106,IEC 60068-2-27
TEST_000423,humidity,water_splash,58.82,17.9,20.22,1114.1,0.784,FAIL,343,2025-07-26 18:31:19.478155,IEC 60529
TEST_000424,humidity,condensation,-24.63,41.15,31.27,863.51,1.0,FAIL,466,2025-05-01 18:31:19.478190,ISO 16750-4
TEST_000425,humidity,humidity_resistance,3.94,64.91,18.91,848.29,0.526,PASS,401,2024-12-27 18:31:19.478224,MIL-STD-810 Method 507.7
TEST_000426,humidity,water_splash,-5.56,92.0,23.16,1089.98,0.734,FAIL,306,2025-02-06 18:31:19.478257,IEC 60529
TEST_000427,vibration,mechanical_vibration,-18.54,10.54,45.18,1091.8,0.967,FAIL,479,2025-02-12 18:31:19.478291,MIL-STD-810 Method 514.8
TEST_000428,vibration,shock,-20.19,37.22,15.83,1154.78,0.748,FAIL,418,2025-01-02 18:31:19.478325,IEC 60068-2-27
TEST_000429,temperature,high_temp,-8.83,54.01,46.13,883.25,0.992,FAIL,46,2025-06-05 18:31:19.478364,MIL-STD-810 Method 501.7
TEST_000430,humidity,condensation,-38.68,60.56,14.09,966.32,0.715,FAIL,273,2024-08-12 18:31:19.478400,ISO 16750-4
TEST_000431,temperature,high_temp,34.21,25.84,36.0,918.16,0.616,PASS,341,2024-11-03 18:31:19.478462,MIL-STD-810 Method 501.7
TEST_000432,vibration,shock,25.84,49.67,0.63,880.39,0.2,PASS,438,2025-07-02 18:31:19.478505,IEC 60068-2-27
TEST_000433,humidity,condensation,6.14,15.28,3.43,937.97,0.082,PASS,352,2024-12-11 18:31:19.478549,ISO 16750-4
TEST_000434,temperature,high_temp,-33.48,68.35,28.83,821.48,1.0,FAIL,257,2025-04-05 18:31:19.478581,MIL-STD-810 Method 501.7
TEST_000435,humidity,condensation,59.68,35.18,33.11,968.96,0.775,FAIL,127,2025-01-20 18:31:19.478613,ISO 16750-4
TEST_000436,vibration,shock,-3.3,72.44,6.47,990.57,0.099,PASS,404,2025-07-24 18:31:19.478643,IEC 60068-2-27
TEST_000437,humidity,condensation,-9.41,90.6,26.79,916.18,0.754,FAIL,360,2024-09-22 18:31:19.478673,ISO 16750-4
TEST_000438,humidity,condensation,1.06,51.59,6.63,1149.83,0.224,PASS,172,2024-10-26 18:31:19.478704,ISO 16750-4
TEST_000439,vibration,mechanical_vibration,33.06,62.22,37.22,1156.02,0.994,FAIL,61,2025-05-29 18:31:19.478744,MIL-STD-810 Method 514.8
TEST_000440,vibration,mechanical_vibration,-28.47,93.15,9.14,1093.79,0.706,FAIL,58,2024-11-23 18:31:19.478775,MIL-STD-810 Method 514.8
TEST_000441,humidity,humidity_resistance,44.05,69.96,8.16,999.71,0.147,PASS,130,2025-01-30 18:31:19.478805,MIL-STD-810 Method 507.7
TEST_000442,temperature,low_temp,-1.87,49.77,25.55,1188.57,0.711,FAIL,269,2025-04-08 18:31:19.478836,MIL-STD-810 Method 502.7
TEST_000443,temperature,thermal_shock,69.96,39.29,46.87,929.72,1.0,FAIL,277,2025-04-13 18:31:19.478874,IEC 60068-2-14
TEST_000444,temperature,thermal_shock,17.23,41.3,45.02,1195.4,0.992,FAIL,182,2025-04-30 18:31:19.478904,IEC 60068-2-14
TEST_000445,vibration,mechanical_vibration,19.29,61.15,39.96,865.61,0.776,FAIL,129,2024-10-02 18:31:19.478934,MIL-STD-810 Method 514.8
TEST_000446,vibration,shock,-28.5,42.66,27.41,835.6,0.853,FAIL,112,2025-04-11 18:31:19.478963,IEC 60068-2-27
TEST_000447,vibration,mechanical_vibration,39.18,89.34,43.24,1171.19,1.0,FAIL,411,2025-04-17 18:31:19.478997,MIL-STD-810 Method 514.8
TEST_000448,temperature,low_temp,9.82,17.13,12.84,1065.62,0.296,PASS,157,2025-06-27 18:31:19.479045,MIL-STD-810 Method 502.7
TEST_000449,humidity,water_splash,48.49,23.06,26.91,1011.13,0.551,PASS,450,2025-01-18 18:31:19.479078,IEC 60529
TEST_000450,vibration,shock,41.56,27.16,30.38,867.2,1.0,FAIL,93,2025-06-08 18:31:19.479108,IEC 60068-2-27
TEST_000451,vibration,acoustic_vibration,0.68,30.75,38.07,1102.21,0.747,FAIL,89,2025-03-15 18:31:19.479139,MIL-STD-810 Method 515.8
TEST_000452,temperature,thermal_shock,58.96,88.33,24.55,991.13,0.876,FAIL,349,2025-05-03 18:31:19.479169,IEC 60068-2-14
TEST_000453,temperature,thermal_shock,14.25,63.99,4.81,996.47,0.036,PASS,270,2025-06-04 18:31:19.479200,IEC 60068-2-14
TEST_000454,humidity,humidity_resistance,-18.83,42.37,36.78,1068.78,0.665,PASS,242,2024-11-09 18:31:19.479230,MIL-STD-810 Method 507.7
TEST_000455,humidity,condensation,57.25,37.19,31.01,870.96,1.0,FAIL,398,2024-12-20 18:31:19.479261,ISO 16750-4
TEST_000456,vibration,mechanical_vibration,-21.67,32.35,4.91,970.52,0.332,PASS,116,2025-03-06 18:31:19.479292,MIL-STD-810 Method 514.8
TEST_000457,vibration,acoustic_vibration,8.15,42.56,9.36,1199.78,0.307,PASS,62,2025-03-14 18:31:19.479344,MIL-STD-810 Method 515.8
TEST_000458,vibration,mechanical_vibration,9.7,81.33,9.68,1023.35,0.161,PASS,366,2025-06-11 18:31:19.479404,MIL-STD-810 Method 514.8
TEST_000459,temperature,high_temp,4.99,17.37,45.15,1115.02,0.897,FAIL,34,2024-08-22 18:31:19.479455,MIL-STD-810 Method 501.7
TEST_000460,vibration,acoustic_vibration,64.54,12.83,48.23,928.41,1.0,FAIL,424,2024-12-11 18:31:19.479522,MIL-STD-810 Method 515.8
TEST_000461,vibration,shock,46.93,85.63,39.32,1130.88,1.0,FAIL,441,2025-02-11 18:31:19.479580,IEC 60068-2-27
TEST_000462,temperature,low_temp,29.16,52.49,7.62,1041.87,0.023,PASS,446,2025-01-25 18:31:19.479643,MIL-STD-810 Method 502.7
TEST_000463,humidity,condensation,52.14,40.21,17.35,1039.26,0.499,PASS,226,2025-07-01 18:31:19.479710,ISO 16750-4
TEST_000464,vibration,shock,32.35,13.72,7.77,1004.94,0.29,PASS,175,2025-06-14 18:31:19.479744,IEC 60068-2-27
TEST_000465,vibration,acoustic_vibration,13.37,49.19,36.58,1100.93,0.767,FAIL,342,2024-09-25 18:31:19.479779,MIL-STD-810 Method 515.8
TEST_000466,temperature,low_temp,52.54,47.66,35.31,945.87,0.791,FAIL,137,2025-02-17 18:31:19.479812,MIL-STD-810 Method 502.7
TEST_000467,temperature,low_temp,-18.54,30.1,10.91,946.18,0.491,PASS,459,2025-02-24 18:31:19.479844,MIL-STD-810 Method 502.7
TEST_000468,humidity,water_splash,40.17,73.59,35.8,1020.8,0.64,PASS,94,2025-06-01 18:31:19.479876,IEC 60529
TEST_000469,temperature,high_temp,-21.3,57.36,35.83,965.15,0.762,FAIL,86,2025-02-08 18:31:19.479908,MIL-STD-810 Method 501.7
TEST_000470,temperature,thermal_shock,27.88,91.57,26.21,978.02,0.619,PASS,328,2025-04-21 18:31:19.479948,IEC 60068-2-14
TEST_000471,humidity,condensation,-16.05,40.52,36.44,940.0,0.643,PASS,249,2025-05-10 18:31:19.479980,ISO 16750-4
TEST_000472,temperature,high_temp,21.38,65.87,38.04,992.57,0.424,PASS,305,2025-06-20 18:31:19.480011,MIL-STD-810 Method 501.7
TEST_000473,vibration,shock,19.13,66.74,29.27,828.84,0.557,PASS,228,2025-04-26 18:31:19.480047,IEC 60068-2-27
TEST_000474,temperature,high_temp,66.01,50.73,23.63,837.8,1.0,FAIL,133,2025-06-05 18:31:19.480090,MIL-STD-810 Method 501.7
TEST_000475,temperature,high_temp,22.01,46.04,49.58,1048.32,0.495,PASS,423,2025-05-12 18:31:19.480140,MIL-STD-810 Method 501.7
TEST_000476,temperature,low_temp,-17.7,46.82,39.47,924.23,0.734,FAIL,250,2024-10-28 18:31:19.480174,MIL-STD-810 Method 502.7
TEST_000477,temperature,low_temp,6.32,64.5,34.7,996.45,0.333,PASS,163,2025-04-09 18:31:19.480206,MIL-STD-810 Method 502.7
TEST_000478,humidity,condensation,16.27,88.67,46.08,842.52,1.0,FAIL,305,2025-04-10 18:31:19.480243,ISO 16750-4
TEST_000479,vibration,mechanical_vibration,-15.7,17.92,6.31,810.02,0.514,PASS,65,2025-02-27 18:31:19.480277,MIL-STD-810 Method 514.8
TEST_000480,temperature,low_temp,55.54,24.18,10.84,1039.99,0.49,PASS,361,2025-01-02 18:31:19.480308,MIL-STD-810 Method 502.7
TEST_000481,vibration,acoustic_vibration,22.25,92.33,45.99,801.71,1.0,FAIL,357,2025-05-09 18:31:19.480339,MIL-STD-810 Method 515.8
TEST_000482,temperature,low_temp,62.06,38.49,4.11,823.12,0.925,FAIL,253,2025-05-09 18:31:19.480368,MIL-STD-810 Method 502.7
TEST_000483,vibration,shock,52.84,47.42,34.07,1101.72,1.0,FAIL,383,2025-01-30 18:31:19.480399,IEC 60068-2-27
TEST_000484,temperature,high_temp,24.64,72.5,38.37,924.69,0.521,PASS,57,2025-01-15 18:31:19.480429,MIL-STD-810 Method 501.7
TEST_000485,temperature,high_temp,-35.82,18.26,13.3,853.72,1.0,FAIL,174,2025-04-18 18:31:19.480458,MIL-STD-810 Method 501.7
TEST_000486,vibration,acoustic_vibration,-6.81,21.75,22.22,1164.36,0.664,PASS,333,2024-09-09 18:31:19.480489,MIL-STD-810 Method 515.8
TEST_000487,temperature,high_temp,45.08,41.25,20.52,1150.85,0.817,FAIL,275,2025-04-20 18:31:19.480520,MIL-STD-810 Method 501.7
TEST_000488,humidity,humidity_resistance,-24.41,66.85,12.71,1169.63,0.777,FAIL,338,2024-09-29 18:31:19.480557,MIL-STD-810 Method 507.7
TEST_000489,vibration,acoustic_vibration,47.23,52.05,26.34,824.45,0.805,FAIL,41,2025-07-12 18:31:19.480588,MIL-STD-810 Method 515.8
TEST_000490,temperature,thermal_shock,19.57,16.43,8.6,952.22,0.0,PASS,194,2025-02-14 18:31:19.480619,IEC 60068-2-14
TEST_000491,temperature,low_temp,30.23,19.1,0.41,1055.33,0.18,PASS,420,2025-07-16 18:31:19.480649,MIL-STD-810 Method 502.7
TEST_000492,humidity,condensation,55.59,94.35,41.98,1151.4,1.0,FAIL,140,2024-11-14 18:31:19.480679,ISO 16750-4
TEST_000493,humidity,condensation,37.9,34.64,13.2,840.33,0.637,PASS,148,2024-09-09 18:31:19.480709,ISO 16750-4
TEST_000494,humidity,water_splash,-37.49,22.07,23.1,862.13,1.0,FAIL,172,2025-02-19 18:31:19.480739,IEC 60529
TEST_000495,temperature,low_temp,-16.21,16.5,7.41,940.57,0.354,PASS,334,2025-05-30 18:31:19.480769,MIL-STD-810 Method 502.7
TEST_000496,vibration,mechanical_vibration,54.75,27.1,22.63,1148.21,0.795,FAIL,260,2025-02-01 18:31:19.480800,MIL-STD-810 Method 514.8
TEST_000497,vibration,shock,10.91,68.53,19.72,1114.4,0.46,PASS,239,2025-02-27 18:31:19.480835,IEC 60068-2-27
TEST_000498,humidity,humidity_resistance,47.09,77.24,13.59,878.83,0.613,PASS,347,2025-04-27 18:31:19.480866,MIL-STD-810 Method 507.7
TEST_000499,temperature,high_temp,1.45,27.53,31.0,874.58,0.765,FAIL,431,2025-07-06 18:31:19.480897,MIL-STD-810 Method 501.7
TEST_000500,humidity,humidity_resistance,-5.87,55.06,13.24,826.27,0.58,PASS,462,2024-11-24 18:31:19.480927,MIL-STD-810 Method 507.7
TEST_000501,temperature,low_temp,61.59,62.84,20.46,1128.04,1.0,FAIL,330,2024-09-07 18:31:19.480960,MIL-STD-810 Method 502.7
TEST_000502,vibration,shock,-34.76,80.98,2.21,1122.43,0.964,FAIL,354,2024-11-08 18:31:19.480991,IEC 60068-2-27
TEST_000503,vibration,acoustic_vibration,-12.8,66.66,17.07,804.13,0.682,PASS,129,2025-07-13 18:31:19.481023,MIL-STD-810 Method 515.8
TEST_000504,humidity,condensation,20.94,94.95,18.42,988.14,0.51,PASS,373,2025-04-17 18:31:19.481054,ISO 16750-4
TEST_000505,humidity,water_splash,-39.54,10.11,23.65,820.24,1.0,FAIL,381,2025-07-25 18:31:19.481084,IEC 60529
TEST_000506,vibration,acoustic_vibration,-0.9,81.16,21.86,1045.05,0.58,PASS,272,2025-07-03 18:31:19.481114,MIL-STD-810 Method 515.8
TEST_000507,vibration,acoustic_vibration,50.68,42.19,8.01,1019.9,0.319,PASS,270,2025-06-01 18:31:19.481151,MIL-STD-810 Method 515.8
TEST_000508,humidity,condensation,60.45,72.8,9.22,1040.75,0.416,PASS,411,2024-10-24 18:31:19.481182,ISO 16750-4
TEST_000509,vibration,acoustic_vibration,1.84,80.04,16.8,946.34,0.526,PASS,45,2025-03-12 18:31:19.481213,MIL-STD-810 Method 515.8
TEST_000510,temperature,thermal_shock,26.13,82.95,1.56,1041.44,0.202,PASS,49,2024-11-06 18:31:19.481244,IEC 60068-2-14
TEST_000511,vibration,acoustic_vibration,51.68,41.99,30.89,1158.29,1.0,FAIL,195,2025-03-06 18:31:19.481275,MIL-STD-810 Method 515.8
TEST_000512,temperature,thermal_shock,44.96,42.48,40.83,1149.09,1.0,FAIL,474,2024-11-16 18:31:19.481304,IEC 60068-2-14
TEST_000513,humidity,humidity_resistance,-22.44,79.99,49.7,1163.71,1.0,FAIL,83,2025-06-19 18:31:19.481334,MIL-STD-810 Method 507.7
TEST_000514,temperature,low_temp,-7.39,34.52,13.66,929.41,0.391,PASS,441,2025-04-26 18:31:19.481365,MIL-STD-810 Method 502.7
TEST_000515,humidity,water_splash,33.37,21.41,36.95,1184.03,0.96,FAIL,210,2025-06-18 18:31:19.481395,IEC 60529
TEST_000516,vibration,shock,33.74,28.33,49.04,1143.93,0.975,FAIL,219,2025-03-08 18:31:19.481429,IEC 60068-2-27
TEST_000517,vibration,acoustic_vibration,-11.7,84.91,11.72,829.36,0.893,FAIL,370,2024-09-09 18:31:19.481460,MIL-STD-810 Method 515.8
TEST_000518,humidity,water_splash,63.87,26.41,41.41,1119.57,1.0,FAIL,128,2025-02-17 18:31:19.481491,IEC 60529
TEST_000519,temperature,low_temp,68.82,75.64,27.08,1185.34,1.0,FAIL,383,2024-12-09 18:31:19.481521,MIL-STD-810 Method 502.7
TEST_000520,temperature,low_temp,-36.64,41.45,43.89,816.82,1.0,FAIL,50,2024-11-28 18:31:19.481551,MIL-STD-810 Method 502.7
TEST_000521,temperature,high_temp,38.24,15.13,29.37,816.27,0.628,PASS,363,2024-12-24 18:31:19.481581,MIL-STD-810 Method 501.7
TEST_000522,vibration,shock,44.68,23.33,8.95,1192.7,0.486,PASS,342,2024-12-26 18:31:19.481614,IEC 60068-2-27
TEST_000523,humidity,humidity_resistance,26.04,51.11,6.49,1117.9,0.236,PASS,364,2025-06-06 18:31:19.481645,MIL-STD-810 Method 507.7
TEST_000524,vibration,mechanical_vibration,35.87,17.95,1.56,837.3,0.426,PASS,311,2024-08-31 18:31:19.481674,MIL-STD-810 Method 514.8
TEST_000525,temperature,high_temp,-23.07,64.75,36.57,1193.97,1.0,FAIL,442,2024-09-07 18:31:19.481703,MIL-STD-810 Method 501.7
TEST_000526,humidity,water_splash,52.26,14.68,16.52,997.17,0.65,PASS,409,2025-02-21 18:31:19.481739,IEC 60529
TEST_000527,humidity,condensation,55.79,70.19,47.54,942.71,0.846,FAIL,276,2025-01-21 18:31:19.481770,ISO 16750-4
TEST_000528,vibration,acoustic_vibration,46.66,22.93,46.95,854.43,1.0,FAIL,458,2025-01-14 18:31:19.481801,MIL-STD-810 Method 515.8
TEST_000529,temperature,thermal_shock,29.43,89.65,22.95,860.14,0.718,FAIL,154,2025-06-25 18:31:19.481834,IEC 60068-2-14
TEST_000530,temperature,low_temp,-10.52,73.35,12.42,875.26,0.596,PASS,174,2025-01-27 18:31:19.481863,MIL-STD-810 Method 502.7
TEST_000531,humidity,condensation,21.6,76.58,45.45,1046.38,0.573,PASS,139,2024-09-23 18:31:19.481893,ISO 16750-4
TEST_000532,temperature,low_temp,-24.62,81.38,1.84,1126.58,0.715,FAIL,462,2025-04-14 18:31:19.481923,MIL-STD-810 Method 502.7
TEST_000533,temperature,thermal_shock,48.57,36.6,19.09,900.96,0.506,PASS,298,2024-09-05 18:31:19.481953,IEC 60068-2-14
TEST_000534,temperature,low_temp,13.12,14.0,22.06,1133.3,0.628,PASS,186,2025-02-27 18:31:19.481983,MIL-STD-810 Method 502.7
TEST_000535,humidity,condensation,-10.76,49.02,13.24,913.94,0.437,PASS,282,2025-06-09 18:31:19.482013,ISO 16750-4
TEST_000536,vibration,mechanical_vibration,30.1,43.82,20.25,894.15,0.584,PASS,193,2025-05-31 18:31:19.482055,MIL-STD-810 Method 514.8
TEST_000537,temperature,thermal_shock,19.33,83.98,30.14,1034.71,0.594,PASS,245,2024-08-10 18:31:19.482087,IEC 60068-2-14
TEST_000538,vibration,shock,69.55,70.63,40.74,1159.56,1.0,FAIL,230,2025-02-07 18:31:19.482117,IEC 60068-2-27
TEST_000539,vibration,shock,1.59,37.08,11.91,1124.78,0.416,PASS,195,2024-12-24 18:31:19.482147,IEC 60068-2-27
TEST_000540,temperature,high_temp,47.77,24.12,32.81,926.74,0.741,FAIL,393,2025-03-16 18:31:19.482177,MIL-STD-810 Method 501.7
TEST_000541,humidity,humidity_resistance,58.72,34.08,14.77,849.89,0.809,FAIL,55,2025-06-11 18:31:19.482207,MIL-STD-810 Method 507.7
TEST_000542,temperature,thermal_shock,-35.15,59.85,2.39,1112.88,0.901,FAIL,53,2025-06-22 18:31:19.482237,IEC 60068-2-14
TEST_000543,temperature,high_temp,20.02,70.06,14.86,1168.74,0.456,PASS,93,2024-11-10 18:31:19.482268,MIL-STD-810 Method 501.7
TEST_000544,vibration,mechanical_vibration,32.17,80.63,38.24,1077.87,0.756,FAIL,38,2025-04-23 18:31:19.482298,MIL-STD-810 Method 514.8
TEST_000545,vibration,mechanical_vibration,45.73,27.65,5.09,921.1,0.335,PASS,288,2024-10-25 18:31:19.482334,MIL-STD-810 Method 514.8
TEST_000546,vibration,shock,0.55,84.56,37.35,870.25,1.0,FAIL,453,2025-06-03 18:31:19.482377,IEC 60068-2-27
TEST_000547,vibration,acoustic_vibration,6.04,70.64,27.02,940.26,0.329,PASS,373,2025-01-20 18:31:19.482420,MIL-STD-810 Method 515.8
TEST_000548,temperature,low_temp,21.01,37.42,21.93,803.85,0.58,PASS,397,2024-12-29 18:31:19.482452,MIL-STD-810 Method 502.7
TEST_000549,temperature,high_temp,54.9,14.71,44.95,1151.0,1.0,FAIL,61,2025-03-08 18:31:19.482483,MIL-STD-810 Method 501.7
TEST_000550,humidity,water_splash,62.93,22.26,24.42,1052.16,0.818,FAIL,416,2024-12-01 18:31:19.482514,IEC 60529
TEST_000551,vibration,mechanical_vibration,43.22,82.01,39.62,1092.39,0.895,FAIL,253,2024-08-17 18:31:19.482546,MIL-STD-810 Method 514.8
TEST_000552,vibration,acoustic_vibration,11.06,40.85,33.15,971.31,0.428,PASS,307,2025-05-08 18:31:19.482576,MIL-STD-810 Method 515.8
TEST_000553,vibration,acoustic_vibration,34.26,17.77,22.3,837.71,0.669,PASS,411,2024-10-25 18:31:19.482607,MIL-STD-810 Method 515.8
TEST_000554,vibration,mechanical_vibration,-38.7,90.19,42.25,950.36,1.0,FAIL,70,2024-10-07 18:31:19.482654,MIL-STD-810 Method 514.8
TEST_000555,temperature,thermal_shock,61.68,72.71,36.59,970.19,1.0,FAIL,394,2025-03-01 18:31:19.482686,IEC 60068-2-14
TEST_000556,humidity,condensation,-10.01,10.02,45.14,972.02,0.795,FAIL,56,2025-04-26 18:31:19.482718,ISO 16750-4
TEST_000557,humidity,humidity_resistance,54.89,70.38,37.48,821.82,1.0,FAIL,49,2025-08-02 18:31:19.482749,MIL-STD-810 Method 507.7
TEST_000558,vibration,mechanical_vibration,22.68,64.86,40.88,894.97,0.92,FAIL,335,2025-06-03 18:31:19.482782,MIL-STD-810 Method 514.8
TEST_000559,temperature,high_temp,-21.1,29.03,32.21,808.55,1.0,FAIL,382,2025-01-18 18:31:19.482815,MIL-STD-810 Method 501.7
